batting_team,total_balls,correct_predictions,actual_wins,predicted_wins,avg_predicted_prob,accuracy,actual_win_rate,predicted_win_rate,calibration_gap
Kochi Tuskers Kerala,150,143,47,54,0.36875445,95.33333333333334,31.333333333333336,36.0,5.542112986246742
Delhi Daredevils,2398,2066,730,970,0.43415996,86.15512927439532,30.442035029190993,40.450375312760634,12.973961522322679
Kings XI Punjab,1682,1404,855,897,0.5381042,83.47205707491082,50.83234244946492,53.32936979785969,2.9780747258280513
Gujarat Lions,232,192,232,192,0.80956537,82.75862068965517,100.0,82.75862068965517,19.04346466064453
Mumbai Indians,2535,2042,1690,1687,0.61195576,80.55226824457594,66.66666666666666,66.5483234714004,5.471090952555329
Pune Warriors,494,382,122,22,0.08621161,77.32793522267207,24.696356275303643,4.4534412955465585,16.075195768101494
Royal Challengers Bangalore,2480,1913,1684,1271,0.513826,77.13709677419355,67.90322580645162,51.24999999999999,16.520623114801225
Sunrisers Hyderabad,483,370,237,166,0.3775166,76.60455486542443,49.06832298136646,34.368530020703936,11.31666358805591
Kolkata Knight Riders,1496,1101,759,786,0.55236614,73.59625668449198,50.73529411764706,52.54010695187166,4.501320109647864
Deccan Chargers,397,291,76,122,0.32543114,73.29974811083123,19.143576826196472,30.730478589420656,13.399536882299621
Chennai Super Kings,1727,1251,1309,1515,0.8011243,72.43775332947308,75.79617834394905,87.72437753329473,4.316248413863448
Rajasthan Royals,2102,1455,1363,1226,0.58081275,69.2197906755471,64.8430066603235,58.32540437678402,6.76173072038209
Rising Pune Supergiants,336,125,211,0,0.0070985267,37.202380952380956,62.797619047619044,0.0,62.087766352153956
